Nombre del Artista,Tipo de Aporte,Instrumentación o Estilo,Estado de Entrega,Ubicación en el Proyecto,Fuente
Enrique Piana,"Conceptualización, guion, dirección y poemas","Cine Poesía 7, Avant-Garde, misticismo y escultura en alambre",Aprobado (derechos propios) / En producción,"Dirección general, narrativa y Septemlogía Amor 7","1, 2, 3, 4, 5, 6, 7, 8"
Max Martínez,Composición de música original y voz,"Cantautor, marimba y temas exclusivos",Enviado / En proceso,Banda sonora original y cortometraje Antigua Guatemala,"2, 4, 6, 9, 10, 11, 12, 13, 14"
Roger GV (Rogermck),"Animación 3D, edición visual y música","Deep Learning, diseño digital y estilo multicolor",En proceso / Propuestas enviadas,"Títulos, escenas de apertura y producción visual","15, 1, 2, 5, 6, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25"
Enrique Viana,"Dirección artística, producción y guion","Zarzuela, humor y comedia",Enviado / Entregado,Producción general y adaptaciones literarias,"6, 26, 27, 28, 29"
Lisa,Interpretación actoral y voces,Voz femenina y coros,En proceso / Pendiente por salud,Compañera de Maledetto y banda sonora,"15, 4, 7, 12, 30"
Javi,"Interpretación actoral, baile y música","Personaje ""Maledetto""",Enviado (Rodado en Las Vegas e Isola Bella),Escenas de la película Amor 7,"15, 4"
Pepito Sentinfante,Ilustraciones aéreas,Visual / Arte gráfico,Mencionado en documento,Refuerzo visual del relato y material del proyecto,"1, 2, 7"
Max,Música y locución,Guitarra y voz hablada,No disponible (fallecido) / En proceso,Inspiración del viaje y mezcla de audio,"15, 7, 30"
Robert Hale,Fotografía artística,Visual / Fotográfico,Aprobado / Programado para julio 2025,"Película Amor 7 (Bleu Chefchaouen, Marruecos)","15, 6"
Daniel Bianco,Dirección de escena y producción ejecutiva,Teatro y zarzuela,Aprobado,Adaptaciones de 'El año pasado por agua',"3, 26"
Cite conciencia,Colaboración artística,Not in source,Enviado / Entregado,Créditos de producción y colaboración general,"27, 28, 29"
Federico Chueca,Composición de música original,Zarzuela / Género chico,Utilizada en producción,Musicalización de adaptaciones sobre cambio climático,"3, 6, 26"
Niñalma y Niñhada,Poesía y coros,Poemas de profeta gemela (Voz a dúo y danza),Enviado / En preparación,Cortometraje Amor 7,"6, 7"
Voluntarios y Participantes,Movimientos grupales y actuación silenciosa,Arte colaborativo y presencia física,Enviado / En curso,"Escenas de grupo, rituales y créditos finales","4, 5, 6"
Estudiantes y maestro (Escuela pública cordobesa),Composición de canciones y música original,Agrupación musical (más de 300 artistas),Enviado y publicado (3 discos),"Film ""Una canción para mi tierra""",31
Las Simbióticas,"Música, humor y compromiso político",Cumbia y humor travesti,Enviado,Producción musical y redes de resistencia,31
Nina Suárez,"Composición, canto y ejecución instrumental","Power trío, guitarra",Enviado (Disco publicado),Producción artística de álbum,31
Yael Frida Gutman (La Cogolla),"Música, cabaret y transformismo",Musical y performance,Aprobado (5 temporadas),Obra theatrical y musical,31
Grupo de sikuris,Música ceremonial y ofrendas,Sikus (música andina),Enviado (en vivo),Apertura de la marcha,31
Chico mexicano,Rap,Letra de Rap,Letra enviada y aprobada,Créditos finales,"9, 16, 10, 11, 32"
Artista de Animación (Estilo Ghibli),Animación de aves e imágenes humanas,Estilo de colores integrados / Anime,Propuesto / Disponible,Imágenes de la película y escenas del documental,"16, 33, 34"
Trini e Ira Torrestoy,Aparición artística / Baile,Danza,En proceso (Making off grabado),Escena de baile en Madrid,22
Mubert (Herramienta IA),Música generativa original,Dubstep prehispánico con ocarina,Recomendado para ejecución,Banda sonora,5
Arturia Pigments (Software),Diseño sonoro,Síntesis granular,Planificado,Sonido binaural y efectos,5
Vecina de Madrid,Grabación de voces,Voz para historia de cuento,En proceso,Fondo de imágenes del cuento,35
Marta Guillot,Dirección o realización,Puesta en escena,En proceso,Producción general,26
David Cuesta Sans,Equipo de arte colaborativo,Not in source,Not in source,Sexta edición de Amor 7,"36, 37"
Coristas,Coros,Vocal,En negociación,Producción general,"9, 32"
Autor (Hablante),Música original (10 temas),"Estilos de París, Cabo de Gata, Canarias",Disponible para envío,Recursos de bandas sonoras,38
Colaborador en Playa del Carmen,Estrategias de comunicación,Liderazgo y marketing,Pendiente de renovación de pasaporte,Promoción de la producción,39
Cámara y Sonidista (Profesionales),Filmación y registro de audio,Documental,Por contratar,Producción en Marruecos,40
Camilailey,Actor,Actuación,Mencionado en grabación,Elenco de producción,8
Sina Poesia,Poesía y música,Voz / Poesía,Mencionado en grabación,Contenido artístico,8
Ademсilio,Director,Dirección,Mencionado en grabación,Dirección de proyecto,8
Zoran,Colaboración artística,Guía,Presentado como guía,Por definir,1
Patrocinadores (varios),Financiamiento,Aportes económicos,Pendiente / En proceso,Créditos finales,15
Abril,Colaboración musical,Not in source,Pendiente de confirmación,Not in source,41
Ilustrador sueco (no nombrado),Ilustraciones,Not in source,Not in source,Libros digitales 'Sentifante',3
Colaborador sin especificar,Música y efectos de sonido,"Sonidos, ruidos y silencios",Pendiente,Final del proceso de edición,"42, 43, 44, 45"
